key,it,en
MENU_PAUSED,"IN PAUSA","PAUSED"
MENU_FULL,"Schermo Intero","Fullscreen"
MENU_CONTROLS,"Controlli (click per configurare)","Controls (click to configure)"
MENU_RESET,"Reset","Reset"
MENU_QUIT,"Esci","Quit"
MENU_LVLSL,"Seleziona livello","Level selection"
DSC_LVL_0,"[color=white]Intro - Io[/color]\n\nAlle volte mi capita di voler stare solo, me ne sto in disparte ed evito le persone.. \nFingo di essere forte ed indipendente, ma in realta' non lo sono.. \nSemplicemente so che certe persone saranno sempre presenti per me.. \nSono la persona piu' fortunata che conosco.. \n\n\n[right]FAMILY\nun gioco idato da mjf89","[color=white]Intro - Me[/color]\n\nSometimes I like to be on my own, I stay alone and I avoid people ...\nI pretend to be strong and independent, but actually I'm not ...\nThe truth is, I know that some people will always be there for me ...\nI'm the luckiest guy I know ...\n\n\n[right]FAMILY\na small game by mjf89[/right]"
DSC_LVL_1,"Capitolo I - [color=#e385c4]Mamma[/color] \n\nQuante volte ho finto di non ascoltare i tuoi consigli? Quante volte ho finto di ignorarti? Troppe forse, ma alla fine ho sempre dato peso alle tue parole ..","Chapter I - [color=#e385c4]Mom[/color] \n\nHow many times I told you I don't care? How many times I pretend to ignore you? Too many probably, but in the end I always paid attention to your words .."
DSC_LVL_2,"E' bello che tu non abbia mai rinunciato a comunicare con me, nonostante i miei silenzi, nonostante la mia voglia di isolamento ..","It's nice that you never gave up talking to me, despite my silences, despite my need for isolation.. "
DSC_LVL_3,"Ricordi quando dovevo scegliere che scuola fare? Senza di te avrei probabilmente commesso un grosso errore.. Chissa' che strada avrei percorso se tu non ci fossi stata..","Do you remember when I had to pick an highschool? Without you I would have probably made a tremendous mistake.. Who knows what path I would have followed then.."
DSC_LVL_4,"E chissa' quante volte mi hai aiutato, senza che io me ne accorgessi, saro' andato avanti dritto, senza nemmeno dirti grazie.. Che stupido..","And god knows how many times you helped me, without me realizing it.. I probably went ahead, without even saying thank you.. How crazy I am.."
DSC_LVL_5,"Le persone non riflettono spesso su quello che danno per scontato.. Per me sei sempre stata Mamma e non ho mai pensato veramente alla tua vita al di fuori di questo, ai tuoi pensieri, sentimenti, problemi..","People usually don't think about what they take for granted.. For me you have always been Mom and I never really thought about your life outside this role, about your thoughts, feelings, problems .."
DSC_LVL_6,"Non vorrei sembrare insensibile o egoista.. Forse lo sono, ma credo che tutti commettano questi errori.. Vedere in una persona un ruolo piuttosto che la persona in se.. Servono anni, forse una vita intera per entrare in sintonia e capirsi veramente..","I don't want to sound numb, or selfish.. Probably I am, but I think that everyone makes such mistakes.. Seeing the role, more than the person itself.. You need years, maybe an entire life to truly understand each other.. "
DSC_LVL_7,"Capitolo II - [color=#3122c1]Papa'[/color] \n\nPapa', non credo di avertelo mai detto, ma ti ammiro molto e vorrei essere forte come te, come hai dimostrato di essere.. \nHai affrontato situazioni e ostacoli che mi avrebbero fatto fuggire..","Chapter II - [color=#3122c1]Dad[/color]\n\nDad, I don't think I ever told you, but I really admire you and I would like to be as strong as you are, as you demonstrated to be.. \nYou faced situations and obstacles from which I would have run away.."
DSC_LVL_8,"Abbiamo un carattere simile, per questo forse abbiamo sempre parlato poco.. L'essere al tuo fianco pero' mi ha dato la forza di perseguire quegli obiettivi che sembravano fuori portata..","We are quite alike, maybe this is why we never spoke much.. But being close to you always gave me the confidence needed to reach those difficult goals.."
DSC_LVL_9,"Ho sempre apprezzato come tu e Mamma abbiate modi diversi di dire la stessa cosa, di darmi gli stessi consigli..","I always loved how you and Mom have different ways to say the same thing, to advise me on the same matter.."
DSC_LVL_10,"A volte i tuoi modi sono molto piu' efficaci..","Sometimes your way is much more effective ..."
DSC_LVL_11,"Ma devo ammettere che altre volte e' piu' facile per Mamma..","Whereas some other times it is easier for Mom ... "
DSC_LVL_12,"Da piccolo mi preoccupavo sempre quando tardavi, chissa' perche' temevo potessi sparire.. Invece ci sei sempre stato..","As a child I was always worried when you were late, I wonder why I feared you could disappear.. But you've always been there for me.. "
DSC_LVL_13,"Capitolo III - [color=#e385c4]Mamma[/color] e [color=#3122c1]Papa'[/color] \n\nCrescendo ho capito quante cose abbiate dovuto sacrificare per questa famiglia.. Ripenso a tutte le decisioni che avte dovuto prendere e mi chiedo se avrei fatto lo stesso.. Se avro' mai il coraggio di seguire la vostra strada.. ","Chapter III - [color=#e385c4]Mom[/color] and [color=#3122c1]Dad[/color] \n\nGrowing up I understood how many things you had to sacrifice for this family.. I think back to all the decisions you had to take and I wonder if I would have done the same .. If I will ever have the courage to follow your path .."
DSC_LVL_14,"Alle volte ripenso a come vi siete conosciuti, a quanto ogni piccolo dettaglio avrebbe potuto rendere differente la vostra storia..","At times I think back about how you met each other, about how every little detail could have made your story different.."
DSC_LVL_15,"Avete fatto cose inimmaginabili per aiutare me e mio fratello.. Alcune non credo nemmeno di poterle raccontare, semplicemente la gente non mi crederebbe..","You did unimaginable things to help me and my brother.. Most people would not even believe them.."
DSC_LVL_16,"In alcune rare occasioni ho intravisto le vostre debolezze.. Spero di essere stato d'aiuto allora, e non un ulteriore peso..","On few occasions I saw your weaknesses.. I hope I was helpful back then, without being just another burden.."
DSC_LVL_17,"Avete reso casa nostra un posto perfetto, il mondo all'infuori di essa non ha mai retto il confronto..","You made our home a perfect place, unfortunately the world outside of it didn't quite compare.."
DSC_LVL_18,"Dimentico troppo spesso tutte queste cose, e adesso che siamo lontani vi scrivo di rado.. Non penso a quanto una semplice frase possa fare la differenza e significare molto per voi.. Mi dispiace..","Too often I forget all of this, and now that we are separated I rarely write you.. I do not think about how much a simple sentence could make a difference and could actually mean a lot to you.. I'm sorry.."
DSC_LVL_19,"Capitolo IV - [color=#146d17]Mio fratello[/color] \n\nSei arrivato prima tu, hai dovuto affrontare tutto prima di me e quando e' stato il mio turno non c'era piu' alcun [color=#ff0000]pericolo[/color] in agguato..","Chapter IV: [color=#146d17]My brother[/color] \n\nYou arrived first, you faced everything before me and when it was my turn to go ahead there was no more [color=#ff0000]danger[/color].."
DSC_LVL_20,"Certo ne e' passato di tempo da quando il nostro letto, al centro della stanza sembrava essere l'unico posto sicuro dell'universo..","A long time has passed since those moments when our bed in the middle of the room seemed to be the only safe place in the universe.."
DSC_LVL_21,"Ho sempre ammirato il tuo carattere, la tua sicurezza.. Penso di aver anche invidiato le tue qualita', ma la verita' e' che non avrei mai saputo essere come te..","I have always admired your personality, your confidence.. At times I think I also envied your qualities, but the truth is I would have never been able to be like you.."
DSC_LVL_22,"Ti conosco bene, so che qualche volte questa sicurezza e' in realta' una maschera, dietro cui nascondi le insicurezze di tutti.. Con quella maschera addosso pero' non ti ho mai visto mollare..","I know you well and I know that sometimes that confidence is a mask you put on to hide those insecurities everyone faces.. But with that mask on, you never gave up on anything.."
DSC_LVL_23,"Ti ho visto crescere un passo avanti a me, sapendo rallentare per valutare la situazione, riflettere e poi ripartire, con gli obiettivi piu' chiari in testa..","I witnessed you growing up in front of me, knowing when to slow down to study the situation, to reflect and then go on, with more clear objectives in mind.."
DSC_LVL_24,"E' stato bello condividere cosi' tanto tempo con te, e devo ammetere di aver pianto piu' di una volta realizzando che non avremmo potuto vivere per sempre fianco a fianco.. Sono quelle cose a cui non pensi mai, di quelle che 'ti pigliano di sorpresa alle quattro di un pigro martedi' pomeriggio..' ","It was nice to share so much time with you, and I have to admit that I cried more than once when I realized we couldn't have lived forever side to side.. This is one of those things you never think about, one of those things 'that blindside you at 4 p.m. on some idle Tuesday..'"
DSC_LVL_25,"[color=white]Capitolo V - La nostra famiglia[/color] \n\nSiamo una famiglia molto unita e ancora oggi, le volte che siamo insieme il mondo esterno smette di esistere ..","[color=white]Chapter V - Our family[/color] \n\nWe are a close-knit family.. Still nowadays, when we are together the outer world entirely disappears.."
DSC_LVL_26,"Le preoccupazioni, i problemi, i pensieri rimangono chiusi fuori, e mi sembra di tornare bambino ..","All those thoughts, all those problems are locked outside, and I almost feel like a child again.."
DSC_LVL_27,".. quando mi addormentavo sereno, ascoltando le vostre voci ..",".. when I was falling asleep peacefully, listening to your voices.."
DSC_LVL_28,".. quando viaggiavamo in macchina e tutto, anche le code interminabili, sembravano parte di una grande avventura..",".. when we travelled together in a car and everything, also the most annoying traffic jam, was part of a big adventure.."
DSC_LVL_29,".. quando aspettavamo che papa' rientrasse da lavoro per poter cenare tutti insieme ..",".. when we waited for Dad to come back from work, so we could have dinner all together.."
DSC_LVL_30,"Crescendo ho sviluppato un particolare senso di nostalgia.. Lo avverto cosi' intensamente a volte, che vorrei semplicemente rivivere quei momenti di serenita' famigliare.. Ancora ed ancora, fino a quando tutto non giunga alla fine..","Growing up I developed a sort of nostalgia.. I feel it so strongly, at times, that I wish I could live those family moments again.. Over and over.. Until everything ends .."
DSC_LVL_END,"[color=white]FINE[/color] \n\n\tPercentuale completamento: %5.2f%% \n\n\n\tTempo di gioco: %d' %d'' \n\n\tRestarts: %d \n\n\tPercentuale di successo: %5.2f%%","[color=white]THE END[/color] \n\n\tGame completion: %5.2f%% \n\n\n\tPlay time: %d' %d'' \n\n\tRestarts: %d \n\n\tSuccess rate: %5.2f%%"
CREDITS,"Alla fine credo di aver imparato a superare gli ostacoli anche da solo.. \n\nDelle volte addirittura mi sembra piu' semplice andare avanti senza dovermi confidare o fare affidamento su qualcuno.. \n\nCerto stando in silenzio, e' molto facile evitare i problemi e nascondersi alla vita..\n\nForse pero' e' giunto il momento di crescere per davvero, imparando a ricambiare un po' di quell'amore che mi e' sempre stato dato..","In the end I think I learned to overcome those obstacles also on my own.. \n\nSometimes I almost feel like it's easier to go ahead without showing my feelings to others or relying on someone else.. \n\nOf course, being silent allows me to avoid problems and hide from life.. \n\nBut maybe it's time to grow up for real, learning to give back a little bit of the love I've always received.."
CREDITS_THANKS,"grazie per aver giocato..","thanks for playing.."
CREDITS_FIN,"[center]Design, Programmzione, 'Grafica' e 'Musica' \n\nad opera di \n\nmjf89[/center]","[center]Design, Code, 'Art' and 'Music' \n\nby \n\nmjf89[/center]"

